UID,PID,title,speaker,date,categories,text,keyword_binary,relevance_1,sentiment_1,confidence_1,notes_1,relevance_2,sentiment_2,confidence_2,notes_2
196,196_1,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential","[Text read by Maj. Gen. Herbert M. Jones, Acting The Adjutant General]",0,-,-,-,-,NP,-,-,-
196,196_2,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential","THE PRESIDENT of the United States of America, authorized by Act of Congress July 9, 1918, has awarded the Distinguished Service Medal (Second Oak Leaf Cluster) to",0,-,-,-,-,0,-,H,-
196,196_3,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential","GENERAL ALFRED M. GRUENTHER,",0,-,-,-,-,0,-,H,-
196,196_4,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential",UNITED STATES ARMY,0,-,-,-,-,0,-,H,-
196,196_5,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential",for exceptionally meritorious service in a duty of great responsibility:,0,-,-,-,-,0,-,H,-
196,196_6,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential","General Gruenther performed exceptionally meritorious and distinguished service to the Government of the United States while serving in positions of great responsibility during the period 10 December 1950 to 31 December 1956. As Chief of Staff of the SHAPE Advance Planning Group from 10 December 1950 to 1 April 1951, he displayed a superb grasp of the many complicated problems inherent in the unprecedented establishment of an international military headquarters. His foresight and brilliant planning contributed in a large measure to the effective and orderly activation of Supreme Headquarters Allied Powers Europe. As Chief of Staff of SHAPE from 2 April 1951 to 10 July 1953, his handling of the complicated matters involved in developing an integrated staff, coupled with his manner of leadership and consequent ability to gain the confidence of all nationalities and services, resulted in the creation of a cohesive and enthusiastic staff. His executive skill and his profound understanding of multi-service problems did much to make possible the development of sound plans and objectives for the most effective utilization of Allied Forces in the common defense of the free world. As Supreme Allied Commander Europe, and Commander in Chief, United States European Command, from 11 July 1953 to 20 November 1956, his inspiring leadership, his keen appreciation of the individual difficulties confronting each of the member nations, his administrative soundness, and his personal capacity for presenting solutions to existing problems to the various national authorities were major contributing factors in increasing the strength of the alliance. His candor, integrity, brilliance, and unswerving belief in the principles of collective security have won him the respect and confidence of leaders at the highest level in all NATO nations. In so doing, General Gruenther has made an exceptional contribution to the defense of the free world and has carried on the highest traditions of the military service and reflected great credit on himself and the United States.",1,0,-,H,-,0,-,H,-
196,196_7,Citation Accompanying the Distinguished Service Medal Presented to General Gruenther.,Dwight D. Eisenhower,"December 28, 1956","Miscellaneous, Miscellaneous Written, Presidential",DWIGHT D. EISENHOWER,0,-,-,-,-,0,-,H,-
321,321_1,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","Senator Hayden, Vice President Johnson, Governor, Mr. Chairman Tom Chauncey, Members of the Senate, friends of Senator Hayden :",0,-,-,-,-,0,-,H,-
321,321_2,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential",I know that I speak for all of us in expressing our great pleasure at being with Senator Hayden tonight.,0,-,-,-,-,0,-,H,-
321,321_3,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","Last night some of us were in Seattle, attending the 25th anniversary dinner of Senator Magnuson of that State, and now we are honored to be here in Phoenix to attend this 50th anniversary. This actually is the first anniversary of the election of the Vice President and myself, and while I'm not sure it should be celebrated in Phoenix, nevertheless we are very happy to come here under your protection tonight, Senator, and say what a pleasure it is to be here.",0,-,-,-,-,0,-,H,-
321,321_4,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","The Vice President made some reference to the oratorical ability of Senator Hayden. In looking at one of his early speeches, before he assumed his present status, he once said in 1914, """"I know that Congress does not conduct its business in an efficient manner. If any corporation had a board of directors as inefficient as Congress, it would become bankrupt in a year.""""",0,-,-,-,-,0,-,H,-
321,321_5,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","My first contact with the Senator was after I had been in the Senate about 2 months in 1953, and I got up to take part in the debate as a new Member. And after speaking for a few minutes, I sat down near Senator Hayden and said, """"Senator, what's the difference between the Senate as you knew it and now?"""" And the Senator said, """"New Members did not speak in those days."""" So I went back to my seat.",0,-,-,-,-,0,-,H,-
321,321_6,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","I am very proud to be here. I think it is a remarkable fact that two leading positions in the United States, positions of the greatest responsibility, were held by Speaker Rayburn as the presiding officer of the House and by the President Pro Tem of the Senate from the neighboring State of Arizona.",0,-,-,-,-,0,-,H,-
321,321_7,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","When a Congressional District or a State sends men back year after year, they may serve themselves, but they may not realize that the seniority system of House and Senate gives those Members a profound influence over the policies of our country at home and abroad. Congressmen or Senators who may serve a district with particular vigor, who may arrange to have its interests particularly well protected, and may be rewarded, and may some day become the great voice of a committee which decides great issues of national security, the size of our force levels, what our actions will be in Space, what our actions will be abroad. So that the District of Bonham, which year after year sent back Sam Rayburn, and this State which sent back year after year Senator Hayden, made one man the Speaker of the House in the most difficult and critical period in the life of our country, and made the other the President Pro Tem of the Senate, and also the Chairman of the Senate Appropriations Committee which provides the funds which makes it possible for all these programs to be carried on. So while I commend the Speaker of the House and Senator Hayden, I also commend the good judgment of the people of Texas and the people of Arizona in recognizing character and patriotism and courage when they found it-and rewarding it.",0,-,-,-,-,0,-,H,-
321,321_8,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","Pericles once said that if you wanted to see his monument, to look around you, and I think that is particularly true in Arizona. This State has benefited year after year by the constant care and attention which Senator Hayden has given to the development of Arizona and the Southwest. Very few sections of our country have required wider and wiser Federal programs for its development than the State of Arizona--this city--Tucson and the rest. This city and this State live on water and from the days when he was first there, in his fight for reclamation and irrigation and all the rest down to the present time, he has spoken for the country and he has spoken for Arizona. And I am confident that this State which has seen the extraordinary growth which the Governor described, from two hundred odd thousand who were here when he went to Congress to the 1,300,000 people who are here today, and the 2,300,000 people who will be here, I'm sure, by the turn of the century, they must know, the people of this State, how vitally important it is that the leadership of Senator Hayden be continued, so that Arizona and the country may continue to move forward.",0,-,-,-,-,0,,H,-
321,321_9,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","Every Federal program which has contributed to the development of the West-irrigation, power, reclamation--bears his mark, and the great Federal highway program which binds this country ,together, which permits this State to be competitive east and west, north and south, this in large measure is his creation. But as I said at the beginning, his great contribution has been to our country. When he went to the Congress of the United States before World War I, our problems were simple. Now the United States occupies a key position in the arch of freedom all around the globe.",0,-,-,-,-,0,-,H,-
321,321_10,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","I know that many Americans are often unhappy and concerned about all the problems that the United States faces abroad, but I think you should take pride and satisfaction in realizing that only the United States, and our power and strength and commitment, permits dozens of countries scattered all over the world to maintain their freedom; and if we did not bear the heavy burdens we now bear, the United States would be isolated, with only a few of the countries of Western Europe to look to.",0,-,-,-,-,0,-,H,-
321,321_11,Remarks in Phoenix at the 50th Anniversary Dinner Honoring Senator Hayden.,John F. Kennedy,"November 17, 1961","Miscellaneous, Miscellaneous Remarks, Presidential","It is the United States that carries this great burden, and however dissatisfied you may be, as you look at the troubled world around you, and however you may wish for peace and contentment--as we all do--you should take pride in the fact that under the administrations of both parties, beginning with the days of the close of World War II, it has been the United States--first in Western Europe and now in Latin America, and now in Africa, and now in the Middle East, and now in Asia, and now in SEATO, and now in CENTO, and now in NATO, and now in the OAS--that really does the heavy work that makes it possible for these institutions to survive.",1,0,-,H,Kennedy is shaming the Americans who complain about foreign spending for organizations like NATO,0,-,H,-
